Prefill,Decode,Average Acceptance Rate
0.28,0.23,45.0
0.07,66.36,41.0
48.86,53.15,30.0
32.76,43.91,35.0
1046.73,50.13,39.0
890.29,33.55,42.0
820.92,36.82,34.0
1977.7,35.77,32.0
1881.12,25.86,35.0
2092.38,21.42,27.0
2680.91,21.48,25.0
3325.1,49.42,21.0
2554.23,0.78,11.0
3041.8,4.97,12.0
2527.29,40.3,15.0
3384.3,37.02,12.0
2578.37,41.77,16.0
5273.74,34.94,11.0
1695.21,1.75,12.0
2013.69,40.14,14.000000000000002
5906.41,41.47,15.0
1673.83,36.87,12.0
2152.78,32.17,9.0
5899.93,31.62,8.0
860.67,32.89,9.0
89.43,1.55,20.0
5949.01,83.08,31.0
961.91,57.36,25.0
34.1,86.95,47.0
4.39,95.44,52.0
5.32,69.52,39.0
6578.13,90.61,45.0
5939.6,43.11,38.0
5371.38,72.94,30.0
3980.06,60.04,31.0
466.47,53.86,27.0
824.09,55.33,28.000000000000004
241.87,4.85,33.0
3984.29,10.1,17.0
528.78,48.71,23.0
0.11,36.58,14.000000000000002
77.69,33.73,12.0
91.08,50.46,25.0
45.51,36.4,14.000000000000002
53.21,43.09,19.0
579.99,30.64,10.0
0.19,31.53,10.0
548.77,35.86,14.000000000000002
