Prefill,Decode,Average Acceptance Rate
10.5,5.0,55.4
362.8,13.6,41.4
182.9,18.1,43.9
562.5,11.0,24.5
555.9,10.2,21.2
555.1,14.5,39.2
0.0,9.4,38.8
0.0,0.0,23.3
936.1,12.0,38.0
937.1,11.5,41.5
912.6,12.1,43.2
1631.7,7.9,19.5
0.0,7.7,41.4
1657.4,12.8,35.9
1663.8,8.2,37.5
0.0,4.6,49.6
0.0,0.0,55.8
356.4,17.6,50.2
372.8,17.6,50.0
397.0,13.9,54.1
404.5,22.7,40.0
0.0,18.6,42.7
0.0,9.4,23.0
0.0,0.0,25.3
213.5,4.4,27.2
0.0,14.5,35.2
0.0,15.1,24.4
0.0,17.4,27.6
0.0,14.2,24.8
0.0,15.0,21.9
0.0,14.1,23.8
0.0,13.2,23.5
0.0,13.8,20.6
0.0,13.7,25.1
0.0,12.8,24.8
0.0,14.2,29.4
0.0,14.1,26.1
0.0,15.8,37.8
0.0,14.3,34.0
0.0,18.2,26.0
0.0,17.0,31.3
0.0,14.5,23.8
0.0,15.9,21.3
0.0,13.8,30.5
0.0,13.0,28.1
0.0,15.9,27.6
0.0,14.9,45.2
0.0,15.0,43.5
0.0,20.2,23.2
0.0,19.7,34.0
0.0,13.6,17.1
0.0,17.0,39.7
0.0,11.7,43.9
0.0,18.8,34.2
0.0,19.8,62.6
0.0,16.8,30.2
0.0,25.6,27.1
0.0,15.8,37.1
0.0,14.6,35.8
0.0,18.0,44.8
0.0,17.3,75.4
0.0,20.1,43.9
0.0,29.1,57.1
0.0,19.8,59.4
0.0,24.3,42.6
0.0,24.6,30.8
0.0,19.4,44.8
0.0,16.0,35.6
0.0,20.1,41.0
0.0,17.5,66.5
0.0,18.9,76.1
0.0,26.8,62.3
0.0,29.3,62.9
0.0,25.1,60.0
0.0,25.7,70.3
0.0,24.4,58.4
0.0,28.0,53.9
0.0,23.9,59.4
0.0,22.9,68.5
0.0,24.6,63.9
0.0,27.0,63.3
